GRUP;TAHSILATAY;SORUMLUAVUKAT;DEVIR;ANAPARA;FAIZ;TAHSILATDURUM;CARIYILSEVK;ODEMEGUN;ANAPARAFAIZ
GRUP 2;Nisan;;2021/03;4414.18;22.64;İdari Takip;;3;4436.82
GRUP 2;Kasım;;2020;684.33;238.71;İdari Takip;;4;923.04
GRUP 2;Kasım;;2021/08;12321.3;736.65;İdari Takip;;23;13057.95
GRUP 2;Aralık;;2021/12;986.65;0;İdari Takip;;3;986.65
GRUP 2;Kasım;;2013;2437.44;559.71;Yasal Takip;;12;2997.15
GRUP 2;Kasım;;2021/01;6612.52;2122.05;Yasal Takip;;11;8734.57
GRUP 2;Aralık;;2021/03;29349.41;5852.97;Yasal Takip;;30;35202.38
GRUP 2;Ekim;;2021/09;4113.63;72.49;Yasal Takip;;11;4186.12
GRUP 2;Ağustos;;2021/02;4896.32;603.44;İdari Takip;;27;5499.76
GRUP 2;Ekim;;2020;3988.59;456.47;İdari Takip;;12;4445.06
GRUP 2;Nisan;;2021/01;6.28;0.24;İdari Takip;;19;6.52
GRUP 2;Aralık;;2021/03;48.77;8.11;İdari Takip;;28;56.88
GRUP 2;Mart;;2021/03;42583.2;83.91;İdari Takip;;15;42667.11
GRUP 2;Haziran;;2021/06;100;0;İdari Takip;;9;100
GRUP 2;Kasım;;2021/09;43026.52;1902.1;İdari Takip;;26;44928.62
GRUP 2;Kasım;;2021/09;11664.99;403.72;İdari Takip;;17;12068.71
GRUP 2;Ağustos;;2021/07;951.32;18.3;İdari Takip;;15;969.62
GRUP 2;Eylül;;2020;0;1.5;Yasal Takip;;19;1.5
GRUP 2;Kasım;;2013;1275.82;0.81;Yasal Takip;;4;1276.63
GRUP 2;Şubat;;2014;187;0;Yasal Takip;;3;187
GRUP 2;Mayıs;;2019;0;0;Yasal Takip;;30;0
GRUP 2;Eylül;;2021/02;60.91;114.04;İdari Takip;;16;174.95
GRUP 2;Eylül;;2021/02;298.02;40.13;İdari Takip;;24;338.15
